mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.61553, -1.35241, 0.00228765]","[0.0, 105038900.0, 108955100.0]","[0.0,0.5,1.0]",1352,264301.0,18214.6,-0.681413,0.202581,151986.26318998524,13.7688,53.18856012966087,41.058438597024896,0.928,0.928,52.186712966931154,47.78852414232546,0.0,0.0,0.0
"[2.27249, -0.412946, 7.01922e-06]","[0.0, 7950515.0, 10721160.0]","[0.0,0.5,1.0]",7984,55513.5,27150.2,-0.660762,0.823407,78752.50124187491,7.70772,272.5611252483643,140.18504598964046,-1.0,1.203,229.72574009199113,0.0,0.0,0.0,0.0
"[2.0026, -0.302881, 1.53573e-05]","[0.0, 6671018.0, 9531035.0]","[0.0,0.5,1.0]",7627,20641.4,20448.3,-0.820716,-0.497078,124422.2477931218,11.5221,420.8188256638565,69.49704574505009,-1.0,1.464,105.52334844777374,0.0,0.0,0.0,0.0
"[3.20221, -1.72689, 0.00266931]","[0.0, 1566353.0, 2508491.0]","[0.0,0.5,1.0]",9465,1991.62,1100.0,-0.582251,0.913783,169246.99738484982,15.1608,22373.657170922223,9.196208774310865,-1.0,0.675,20.422560862816322,0.0,0.0,0.0,0.0
"[1.80118, -0.680932, 0.00120749]","[0.0, 5970012.0, 6998061.0]","[0.0,0.5,1.0]",1866,27944.3,21013.6,-0.690369,-0.391097,154963.01778789467,14.0096,237.0843990902788,71.81163924486539,-1.0,0.411,113.16474235920032,0.0,0.0,0.0,0.0
"[-1.27608, 2.04749, 0.00699133]","[326560.4, 0.0, 409685.8]","[0.5,0.0,1.0]",6328,24603.0,1633.15,-0.506996,-0.0797061,122380.32354611217,11.3543,3893.142497170904,23.27003253375564,-1.0,0.546,42.46740345354178,0.0,0.0,0.0,0.0
"[4.94916, -0.290022, 3.93964e-06]","[0.0, 25336550.0, 29797230.0]","[0.0,0.5,1.0]",323,4275.69,2097.16,0.659649,-0.196912,103609.8928273587,9.80115,13616.609592260736,19.30985876408629,1.636,1.636,44.19885341442978,0.0,0.0,0.0,0.0
"[2.10831, 1.08683e-05, -0.215919]","[0.0, 18043710.0, 15441170.0]","[0.0,1.0,0.5]",2881,10778.2,1100.0,-0.0282854,0.908879,160408.6724911036,14.4493,6979.783527293873,16.108984310685138,-1.0,1.847,24.55888422520357,0.0,0.0,0.0,0.0
"[2.90697, -0.899125]","[0.0, 1928198.0]","[0.0,0.5]",5770,265003.0,135306.0,0.685419,-0.155366,156310.5338252874,14.1185,7.689464619130712,331.4489438621175,-1.0,1.905,565.1151033089168,314.2871872133716,0.0,0.0,0.0
"[-0.777149, 2.14055, 2.21699e-05]","[3111650.0, 0.0, 4992425.0]","[0.5,0.0,1.0]",4273,37240.3,13917.4,-0.618098,0.178208,129981.35602274048,11.9779,347.3477644020168,70.1286244814161,-1.0,0.609,119.78907569630401,0.0,0.0,0.0,0.0
"[-0.689443, 1.62128, 0.043145]","[2676081.0, 0.0, 2713863.0]","[0.5,0.0,1.0]",1220,8212.73,1100.0,0.699246,-0.738401,43318.233813675055,4.60776,45730.779946046256,25.35662168836838,-1.0,0.574,38.90294181245864,0.0,0.0,0.0,0.0
"[2.93313, -0.587289, 0.0268166]","[0.0, 2890513.0, 2961024.0]","[0.0,0.5,1.0]",5809,3978.99,3636.39,0.393498,-0.467836,82542.45915688676,8.03018,12069.021753612971,25.49467573271257,-1.0,0.722,48.01694327529235,0.0,0.0,0.0,0.0
"[-4.08702, 3.88805, 0.298731]","[293829.0, 0.0, 304778.9]","[0.5,0.0,1.0]",2497,582692.0,45540.9,0.423902,0.0166164,117428.71167079217,10.9465,17.807368601911502,115.2034630933436,1.548,1.548,331.37372521193475,0.0,0.0,0.0,0.0
"[2.45709, -1.87075, -1.44338, 2.7811, 7.18603e-06]","[0.0, 1345139.0, 1766565.0, 548352.2, 6694161.0]","[0.0,0.5,0.5,0.0,1.0]",138,78362.0,65246.3,-0.546324,0.0359058,164614.54737273388,14.7882,35.814834464157215,184.5732996077635,-1.0,2.033,539.7726152538904,0.4947814273599955,0.0,0.0,0.0
"[2.06533, -0.774868, 0.328054]","[0.0, 2874441.0, 2877183.0]","[0.0,0.5,1.0]",4150,78471.8,12235.1,-0.224215,-0.269108,113971.55861163395,10.661,271.24218933660063,74.88461148617797,-1.0,0.234,133.29149522856326,0.0,0.0,0.0,0.0
"[-0.552072, 1.7474, 8.51632e-05]","[1474050.0, 0.0, 1859388.0]","[0.5,0.0,1.0]",3041,17719.8,6619.29,-0.410361,-0.455702,77249.81961871375,7.57949,2388.401653303629,55.022896378683896,-1.0,0.629,83.43832028922284,0.0,0.0,0.0,0.0
"[-0.583527, 3.60088, 0.00320216]","[1311022.0, 0.0, 1528610.0]","[0.5,0.0,1.0]",8923,13069.0,9274.46,0.185523,0.0911419,115473.31952622856,10.7851,1323.3520387662586,51.87428374567194,-1.0,1.14,106.15371164522934,0.0,0.0,0.0,0.0
[4.20399],[0.0],[0.0],289,26042.3,14960.2,0.781557,-0.808873,60902.36738814669,6.16851,1154.294785072129,105.19357831064929,-1.0,1.909,215.6850610346868,0.0,0.0,0.0,0.0
"[-0.444892, 2.01512, 0.0225865]","[2303033.0, 0.0, 2399022.0]","[0.5,0.0,1.0]",7294,290193.0,31560.0,0.176537,-0.614591,154167.75521329613,13.9453,28.599949982652515,100.1658912679826,-1.0,0.529,157.82402099650596,0.0,0.0,0.0,0.0
"[4.21922, -0.137476]","[0.0, 9632218.0]","[0.0,0.5]",1246,26554.6,1100.0,-0.602811,0.966163,169214.6425738957,15.1582,3484.270099312399,15.07804959858572,-1.0,0.838,31.471960394570143,0.0,0.0,0.0,0.0
"[2.11022, -0.788531]","[0.0, 45383980.0]","[0.0,0.5]",3601,196973.0,24086.9,0.988817,0.144144,200046.1077397725,17.622,33.795988753021696,215.03306750982327,1.885,1.885,312.36985623982775,190.94778993892623,0.0,0.0,0.0
"[2.33399, -0.247081, 6.5316e-05]","[0.0, 28290990.0, 30439460.0]","[0.0,0.5,1.0]",5576,90634.0,1100.0,-0.619755,-0.354094,147256.311604117,13.3855,1847.6757916542977,9.601322317364223,0.382,0.382,15.425403027410407,0.0,0.0,0.0,0.0
"[1.68129, -0.807634, 0.000141601]","[0.0, 14212310.0, 15574190.0]","[0.0,0.5,1.0]",6761,11195.9,1371.92,0.866704,-0.635419,67780.68466610879,6.76603,17274.782270467953,26.21409018507869,0.569,0.569,41.35737451060475,0.0,0.0,0.0,0.0
[3.44346],[0.0],[0.0],5226,112925.0,80071.0,0.742436,0.247852,183746.8504016913,16.3228,19.13441968377689,281.84853716568983,0.685,0.685,523.0139905711255,0.0,0.0,0.0,0.0
"[3.59899, -0.327746, 0.0650193]","[0.0, 3137587.0, 3155427.0]","[0.0,0.5,1.0]",6908,404547.0,5638.06,-0.580237,0.562107,56250.65547525242,5.76073,468.10544636819367,34.641362691790206,-1.0,0.512,69.21128664190854,0.0,0.0,0.0,0.0
"[6.31396, -5.02762, -2.86472, 3.96735, 7.43213e-06]","[1250011.0, 1567509.0, 2350131.0, 0.0, 6462726.0]","[0.0,0.5,0.5,0.0,1.0]",5176,246070.0,1100.0,-0.818829,-0.755445,137859.49909888327,12.6214,1036.1687417589883,5.922944098923336,-1.0,0.902,25.249850001329726,0.0,0.0,0.0,0.0
"[1.87091, -0.845797, 1.25877e-05]","[0.0, 1913442.0, 3364571.0]","[0.0,0.5,1.0]",1373,40120.2,2631.5,0.2454,0.45975,71623.68825073204,7.09735,3525.5289657282456,48.13405538247067,1.326,1.326,79.33683303872708,0.0,0.0,0.0,0.0
[3.36586],[0.0],[0.0],9729,16879.6,1100.0,0.363468,-0.831625,120832.94782582924,11.227,7557.019462591507,20.7337675607282,-1.0,1.655,38.03875108660249,0.0,0.0,0.0,0.0
"[3.01771, -0.0143059, 3.32702e-05]","[0.0, 34443470.0, 35313650.0]","[0.0,0.5,1.0]",8087,20153.6,7234.09,0.697116,0.758598,151981.32175014954,13.7684,808.3574411945149,52.9003181494246,-1.0,2.483,92.11416165875593,0.0,0.0,0.0,0.0
"[3.94974, -0.0534578, 0.00110984]","[0.0, 103258200.0, 103573600.0]","[0.0,0.5,1.0]",8007,269963.0,1202.0,-0.846319,0.826655,108963.25558522972,10.2462,1227.1159065571208,7.445176638805976,0.69,0.69,14.898368905339321,0.0,0.0,0.0,0.0
"[-0.799081, 2.00218, 0.0221553]","[1346777.0, 0.0, 1415598.0]","[0.5,0.0,1.0]",6761,11195.9,1371.92,0.866704,-0.635419,67780.68466610879,6.76603,17274.782270467953,26.21409018507869,-1.0,0.956,44.047599779386275,0.0,0.0,0.0,0.0
"[4.1123, -2.00679, 4.0562e-05]","[0.0, 10791670.0, 17272680.0]","[0.0,0.5,1.0]",199,9470.05,1100.0,0.116856,-0.239484,99224.79188018794,9.43522,14694.56935778899,18.758233259533004,1.347,1.347,46.40200984466298,0.0,0.0,0.0,0.0
"[2.15153, -1.64446, 0.0155325]","[0.0, 8661712.0, 9236868.0]","[0.0,0.5,1.0]",5150,33222.1,3243.23,0.632614,0.115271,191840.3764364006,16.9688,867.7536731511375,37.16598226450902,0.684,0.684,72.55959654256473,0.0,0.0,0.0,0.0
"[-0.499535, 1.51533, 0.00794753]","[2567163.0, 0.0, 2667497.0]","[0.5,0.0,1.0]",3438,14231.7,1100.0,0.920958,0.320209,154467.0277582701,13.9695,6066.157251971173,19.3708010981914,-1.0,0.957,27.550240813823173,0.0,0.0,0.0,0.0
"[2.14239, -2.12132, 3.13799]","[0.0, 172885.4, 135767.9]","[0.0,0.5,0.0]",3052,330927.0,150599.0,0.148114,0.0664412,181633.22541825395,16.1538,4.735592689697234,153.77504191129884,1.439,1.439,418.3613862531482,0.0,0.0,0.0,0.0
"[2.56555, -1.81857, -2.58913, 3.61421]","[0.0, 268931800.0, 186821900.0, 135495000.0]","[0.0,0.5,0.5,0.0]",1839,233986.0,5194.53,0.447065,0.795929,172981.73467374902,15.4607,166.38215662779814,36.46826823245903,-1.0,1.656,58.412444580942086,69.3301008714266,58.68026533259468,49.17905187649591,0.0
"[7.58117, -0.285676, 0.000553311]","[0.0, 10721760.0, 12469200.0]","[0.0,0.5,1.0]",5316,172918.0,7563.33,-0.588145,-0.170526,204765.2742178689,17.9969,110.92163807634364,22.35336470520969,-1.0,0.374,61.54758567751743,11.959140178027736,0.0,0.0,0.0
"[-1.41629, 2.88286, 0.00350944]","[5498298.0, 0.0, 6446370.0]","[0.5,0.0,1.0]",2356,23095.8,6755.47,-0.711176,-0.0941252,23581.32683936971,2.76458,7585.489757485472,106.40863046701551,-1.0,0.789,220.72185628322768,0.0,0.0,0.0,0.0
[3.45128],[0.0],[0.0],4513,227780.0,1956.06,-0.226563,-0.847262,91360.53306898824,8.77558,1068.6380232870076,18.62547454434871,-1.0,0.865,34.60170060176363,0.0,0.0,0.0,0.0
"[3.387, -2.18748, 0.074213]","[0.0, 103241500.0, 104198800.0]","[0.0,0.5,1.0]",5462,10583.4,5901.18,-0.483118,-0.00867777,107459.91763209268,10.1214,2556.082094683169,39.41669470770103,-1.0,0.878,93.68157630075225,0.0,0.0,0.0,0.0
[5.34424],[0.0],[0.0],7828,256823.0,2066.38,0.62454,-0.825729,181273.1914173551,16.125,366.0701738962813,24.814326905616536,-1.0,1.712,57.364798971971304,0.0,0.0,0.0,0.0
"[-0.306262, 2.11562, 3.75235e-05]","[12818840.0, 0.0, 13822030.0]","[0.5,0.0,1.0]",3643,86764.1,22639.7,-0.164015,-0.303433,114111.86807673988,10.6726,140.8850755390736,115.76105436238258,0.492,0.492,168.37643331522017,64.06718382671096,0.0,0.0,0.0
"[-4.22135, 3.52076, -3.6616, 7.68471, 0.000982768]","[5954603.0, 0.0, 6405897.0, 5098423.0, 13167360.0]","[0.5,0.0,0.5,0.0,1.0]",919,16409.8,1100.0,-0.537002,-0.904374,29952.437330746467,3.3748,42728.03655291731,36.19769888549657,0.5,0.5,158.15289044688683,0.0,0.0,0.0,0.0
"[1.85513, -0.800165, 0.410444]","[0.0, 1241994.0, 1242296.0]","[0.0,0.5,1.0]",337,28112.8,2264.42,-0.706012,-0.591305,124319.96957318312,11.5137,2525.745167165304,25.641251974291983,-1.0,1.019,44.89591383133065,0.0,0.0,0.0,0.0
"[-1.02539, 2.13717, 0.000149353]","[9919161.0, 0.0, 12150300.0]","[0.5,0.0,1.0]",7241,100969.0,1100.0,-0.757651,-0.218443,87660.85205422722,8.46363,3453.955398785611,13.333592318824271,-1.0,1.464,23.712471050083614,0.0,0.0,0.0,0.0
"[1.73978, -0.220468, 0.000470907]","[0.0, 7669852.0, 8179806.0]","[0.0,0.5,1.0]",1984,18831.8,10105.1,0.775104,-0.401361,199622.23391766383,17.5883,429.8934744747729,52.263385861647365,-1.0,1.746,73.18215773104647,0.0,0.0,0.0,0.0
[3.39163],[0.0],[0.0],8397,31576.2,10127.3,0.966273,-0.0917695,199857.43296921792,17.607,288.47824711904445,67.8960165006948,-1.0,2.042,125.03987439472516,0.0,0.0,0.0,0.0
[3.13496],[0.0],[0.0],9898,28910.1,22517.6,-0.954845,0.499653,114156.62477512938,10.6763,330.3894544402368,89.44613874792542,-1.0,0.889,158.37170760825043,0.0,0.0,0.0,0.0
[9.89125],[0.0],[0.0],8635,35908.3,19959.4,-0.461913,-0.0420828,145515.3245445147,13.2442,221.48801581783027,81.86039993258808,-1.0,1.773,257.4538860050388,0.0,0.0,0.0,0.0
"[0.000527851, -0.00312992]","[38912.62, 0.0]","[1.0,0.5]",7521,4166.35,3596.87,0.455599,-0.0826172,98520.66022802418,9.37634,9303.33515501976,24.370902297461484,-1.0,2.588,1.4739402030480764,0.0,0.0,0.0,0.0
"[2.44611, -0.251258, 8.86936e-05]","[0.0, 4313934.0, 5279430.0]","[0.0,0.5,1.0]",2568,5592.59,1100.0,0.945748,-0.632302,205269.1852575971,18.0369,7844.720787613709,12.795469871820258,-1.0,0.764,21.015197656160986,0.0,0.0,0.0,0.0
"[1.40791, -0.260553, 0.122715]","[0.0, 17028630.0, 17030110.0]","[0.0,0.5,1.0]",4269,18547.0,1257.36,-0.583036,0.695443,162795.52585824853,14.6417,4121.846227109342,17.11106165259909,-1.0,1.312,22.900571958906834,0.0,0.0,0.0,0.0
"[1.89337, -0.305767, 0.0223695]","[0.0, 4267744.0, 4301629.0]","[0.0,0.5,1.0]",2263,1126.85,1100.0,-0.650485,-0.316091,152311.18731108916,13.7951,41066.45578206021,7.577369204200376,-1.0,1.937,11.293855913704057,0.0,0.0,0.0,0.0
"[3.33978, -1.16756]","[0.0, 2845924.0]","[0.0,0.5]",2828,109145.0,6737.8,-0.0292109,-0.504373,82352.39107153946,8.01404,590.1700714494109,64.29753574605351,-1.0,2.024,136.50686354225476,0.0,0.0,0.0,0.0
"[2.05184, -0.48818, 4.2402e-05]","[0.0, 7688522.0, 10104570.0]","[0.0,0.5,1.0]",8187,228458.0,9254.53,0.915993,0.676194,164143.830462164,14.7503,102.756879253573,118.66939285846163,-1.0,2.067,189.1302137867402,0.0,0.0,0.0,0.0
